videoID,url,timestamp,caption,matching_score,desirable_filtering,shot_boundary_detection,timestamp_raw
-5DzhzLHPCk_head,https://www.youtube.com/watch?v=-5DzhzLHPCk,"[['0:00:05.972', '0:00:11.172']]",['The player is in a minecraft game and they are mining for resources.'],[0.462158203125],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:05.972', '0:00:11.172']]"
-5DzhzLHPCk_tail,https://www.youtube.com/watch?v=-5DzhzLHPCk,"[['0:00:48.820', '0:00:54.020']]",['The player is in a minecraft game and they are mining for resources.'],[0.462158203125],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:48.820', '0:00:54.020']]"
-9dQ9TfW-60_head,https://www.youtube.com/watch?v=-9dQ9TfW-60,"[['0:00:13.360', '0:00:18.560']]",['The inside of a building in minecraft.'],[0.45654296875],['desirable'],"[[['0:00:00.000', '0:00:27.280'], ['0:00:27.320', '0:00:39.640'], ['0:00:39.680', '0:00:47.960']]]","[['0:00:13.360', '0:00:18.560']]"
-9dQ9TfW-60_tail,https://www.youtube.com/watch?v=-9dQ9TfW-60,"[['0:00:56.160', '0:01:01.360']]",['The inside of a building in minecraft.'],[0.45654296875],['desirable'],"[[['0:00:00.000', '0:00:27.280'], ['0:00:27.320', '0:00:39.640'], ['0:00:39.680', '0:00:47.960']]]","[['0:00:56.160', '0:01:01.360']]"
-D762RLyAWw_head,https://www.youtube.com/watch?v=-D762RLyAWw,"[['0:00:06.000', '0:00:11.200']]",['A woman is standing in front of a blender with bananas and other fruits on the counter.'],[0.45263671875],['desirable'],"[[['0:00:00.000', '0:00:48.000']]]","[['0:00:06.000', '0:00:11.200']]"
-D762RLyAWw_tail,https://www.youtube.com/watch?v=-D762RLyAWw,"[['0:00:48.800', '0:00:54.000']]",['A woman is standing in front of a blender with bananas and other fruits on the counter.'],[0.45263671875],['desirable'],"[[['0:00:00.000', '0:00:48.000']]]","[['0:00:48.800', '0:00:54.000']]"
-KD_vRKwD2c_head,https://www.youtube.com/watch?v=-KD_vRKwD2c,"[['0:00:12.045', '0:00:17.245']]",['The inside of a building in minecraft.'],[0.460205078125],['0_low_desirable_score'],"[[['0:00:00.000', '0:00:08.742'], ['0:00:08.775', '0:00:09.376'], ['0:00:09.409', '0:00:14.147'], ['0:00:14.180', '0:00:18.685'], ['0:00:18.718', '0:00:19.853'], ['0:00:19.886', '0:00:20.587'], ['0:00:20.620', '0:00:27.761'], ['0:00:27.794', '0:00:32.632'], ['0:00:32.665', '0:00:34.901'], ['0:00:34.934', '0:00:48.014']]]","[['0:00:12.045', '0:00:17.245']]"
-KD_vRKwD2c_tail,https://www.youtube.com/watch?v=-KD_vRKwD2c,"[['0:00:54.893', '0:01:00.093']]",['The inside of a building in minecraft.'],[0.460205078125],['0_low_desirable_score'],"[[['0:00:00.000', '0:00:08.742'], ['0:00:08.775', '0:00:09.376'], ['0:00:09.409', '0:00:14.147'], ['0:00:14.180', '0:00:18.685'], ['0:00:18.718', '0:00:19.853'], ['0:00:19.886', '0:00:20.587'], ['0:00:20.620', '0:00:27.761'], ['0:00:27.794', '0:00:32.632'], ['0:00:32.665', '0:00:34.901'], ['0:00:34.934', '0:00:48.014']]]","[['0:00:54.893', '0:01:00.093']]"
-StFwATpEs0_head,https://www.youtube.com/watch?v=-StFwATpEs0,"[['0:00:15.915', '0:00:21.115']]","['A blender, jars, and a bag of nuts on a counter.']",[0.43212890625],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:15.915', '0:00:21.115']]"
-StFwATpEs0_tail,https://www.youtube.com/watch?v=-StFwATpEs0,"[['0:00:58.763', '0:01:03.963']]","['A blender, jars, and a bag of nuts on a counter.']",[0.43212890625],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:58.763', '0:01:03.963']]"
