videoID,url,timestamp,caption,matching_score,desirable_filtering,shot_boundary_detection,timestamp_raw
-8NMM8ozyFM_head,https://www.youtube.com/watch?v=-8NMM8ozyFM,"[['0:00:07.974', '0:00:13.174']]",['The man is demonstrating how to perform a juggling trick with two bottles.'],[0.472900390625],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:07.974', '0:00:13.174']]"
-8NMM8ozyFM_tail,https://www.youtube.com/watch?v=-8NMM8ozyFM,"[['0:00:50.822', '0:00:56.022']]",['The man is demonstrating how to perform a juggling trick with two bottles.'],[0.472900390625],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:50.822', '0:00:56.022']]"
-DRWlUAfufg_head,https://www.youtube.com/watch?v=-DRWlUAfufg,"[['0:00:10.410', '0:00:15.610']]",['A man is holding a multi-tool in his hand and demonstrates how to use the scissors and pliers on it.'],[0.4296875],['desirable'],"[[['0:00:00.000', '0:00:43.777']]]","[['0:00:10.410', '0:00:15.610']]"
-DRWlUAfufg_tail,https://www.youtube.com/watch?v=-DRWlUAfufg,"[['0:00:49.020', '0:00:54.220']]",['A man is holding a multi-tool in his hand and demonstrates how to use the scissors and pliers on it.'],[0.4296875],['desirable'],"[[['0:00:00.000', '0:00:43.777']]]","[['0:00:49.020', '0:00:54.220']]"
-G43Mji8-pU_head,https://www.youtube.com/watch?v=-G43Mji8-pU,"[['0:00:05.338', '0:00:10.538']]",['A woman and a child are in a swimming pool and the woman is teaching the child how to swim.'],[0.45361328125],['desirable'],"[[['0:00:00.000', '0:00:42.742']]]","[['0:00:05.338', '0:00:10.538']]"
-G43Mji8-pU_tail,https://www.youtube.com/watch?v=-G43Mji8-pU,"[['0:00:42.881', '0:00:48.081']]",['A woman and a child are in a swimming pool and the woman is teaching the child how to swim.'],[0.45361328125],['desirable'],"[[['0:00:00.000', '0:00:42.742']]]","[['0:00:42.881', '0:00:48.081']]"
-IL7nlHs1nc_head,https://www.youtube.com/watch?v=-IL7nlHs1nc,"[['0:00:06.000', '0:00:11.200']]","['A man is holding some onion sets in a tray, and he is discussing how to give them an early start by planting them into small modules.']",[0.446044921875],['desirable'],"[[['0:00:00.000', '0:00:47.960']]]","[['0:00:06.000', '0:00:11.200']]"
-IL7nlHs1nc_tail,https://www.youtube.com/watch?v=-IL7nlHs1nc,"[['0:00:48.800', '0:00:54.000']]","['A man is holding some onion sets in a tray, and he is discussing how to give them an early start by planting them into small modules.']",[0.446044921875],['desirable'],"[[['0:00:00.000', '0:00:47.960']]]","[['0:00:48.800', '0:00:54.000']]"
-M8swpL-Ij8_head,https://www.youtube.com/watch?v=-M8swpL-Ij8,"[['0:00:05.972', '0:00:11.172']]",['The speaker is demonstrating how to use a whiteboard and markers to explain mathematical concepts.'],[0.456298828125],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:05.972', '0:00:11.172']]"
-M8swpL-Ij8_tail,https://www.youtube.com/watch?v=-M8swpL-Ij8,"[['0:00:48.820', '0:00:54.020']]",['The speaker is demonstrating how to use a whiteboard and markers to explain mathematical concepts.'],[0.456298828125],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:48.820', '0:00:54.020']]"
-Nqv-MgqGUI_head,https://www.youtube.com/watch?v=-Nqv-MgqGUI,"[['0:00:06.000', '0:00:11.200']]",['A book with instructions on how to draw a circle.'],[0.4326171875],['desirable'],"[[['0:00:00.000', '0:00:47.960']]]","[['0:00:06.000', '0:00:11.200']]"
-Nqv-MgqGUI_tail,https://www.youtube.com/watch?v=-Nqv-MgqGUI,"[['0:00:48.800', '0:00:54.000']]",['A book with instructions on how to draw a circle.'],[0.4326171875],['desirable'],"[[['0:00:00.000', '0:00:47.960']]]","[['0:00:48.800', '0:00:54.000']]"
-OLPVREPy6Y_head,https://www.youtube.com/watch?v=-OLPVREPy6Y,"[['0:00:06.000', '0:00:11.200']]",['A woman is demonstrating how to glaze furniture to create an antique finish using a brush and paint.'],[0.43701171875],['desirable'],"[[['0:00:00.000', '0:00:47.958']]]","[['0:00:06.000', '0:00:11.200']]"
-OLPVREPy6Y_tail,https://www.youtube.com/watch?v=-OLPVREPy6Y,"[['0:00:48.800', '0:00:54.000']]",['A woman is demonstrating how to glaze furniture to create an antique finish using a brush and paint.'],[0.43701171875],['desirable'],"[[['0:00:00.000', '0:00:47.958']]]","[['0:00:48.800', '0:00:54.000']]"
-UnNRGF8R40_head,https://www.youtube.com/watch?v=-UnNRGF8R40,"[['0:00:05.972', '0:00:11.172']]",['A man is standing in front of a whiteboard and explaining how to solve a problem involving two circles.'],[0.47802734375],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:05.972', '0:00:11.172']]"
-UnNRGF8R40_tail,https://www.youtube.com/watch?v=-UnNRGF8R40,"[['0:00:48.820', '0:00:54.020']]",['A man is standing in front of a whiteboard and explaining how to solve a problem involving two circles.'],[0.47802734375],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:48.820', '0:00:54.020']]"
-VNm_X6aW1o_head,https://www.youtube.com/watch?v=-VNm_X6aW1o,"[['0:00:10.427', '0:00:15.627']]","['A technician is repairing a refrigerator using a step-by-step guide, and the video is intended to help viewers avoid recalls and callbacks and save time on repairs.']",[0.458251953125],['desirable'],"[[['0:00:00.000', '0:00:19.561'], ['0:00:19.644', '0:00:33.241'], ['0:00:33.283', '0:00:36.369'], ['0:00:36.453', '0:00:44.044']]]","[['0:00:10.427', '0:00:15.627']]"
-VNm_X6aW1o_tail,https://www.youtube.com/watch?v=-VNm_X6aW1o,"[['0:00:49.312', '0:00:54.512']]","['A technician is repairing a refrigerator using a step-by-step guide, and the video is intended to help viewers avoid recalls and callbacks and save time on repairs.']",[0.458251953125],['desirable'],"[[['0:00:00.000', '0:00:19.561'], ['0:00:19.644', '0:00:33.241'], ['0:00:33.283', '0:00:36.369'], ['0:00:36.453', '0:00:44.044']]]","[['0:00:49.312', '0:00:54.512']]"
-aFG6dUoe7g_head,https://www.youtube.com/watch?v=-aFG6dUoe7g,"[['0:00:11.044', '0:00:16.244']]","['A woman is demonstrating how to do a handstand without a strap. she advises to be patient and to focus on engaging the core, stabilizing the shoulders, and pulling up from the core.']",[0.449462890625],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:11.044', '0:00:16.244']]"
-aFG6dUoe7g_tail,https://www.youtube.com/watch?v=-aFG6dUoe7g,"[['0:00:53.892', '0:00:59.092']]","['A woman is demonstrating how to do a handstand without a strap. she advises to be patient and to focus on engaging the core, stabilizing the shoulders, and pulling up from the core.']",[0.449462890625],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:53.892', '0:00:59.092']]"
-c0A8tzzLjc_head,https://www.youtube.com/watch?v=-c0A8tzzLjc,"[['0:00:05.972', '0:00:11.172']]",['The person is demonstrating how to make a center decrease in knitting by slipping the next two stitches together and passing them over the knit stitch.'],[0.472412109375],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:05.972', '0:00:11.172']]"
-c0A8tzzLjc_tail,https://www.youtube.com/watch?v=-c0A8tzzLjc,"[['0:00:48.820', '0:00:54.020']]",['The person is demonstrating how to make a center decrease in knitting by slipping the next two stitches together and passing them over the knit stitch.'],[0.472412109375],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:48.820', '0:00:54.020']]"
-eA2D_rIcNA_head,https://www.youtube.com/watch?v=-eA2D_rIcNA,"[['0:00:15.915', '0:00:21.115']]",['A man is standing in front of a chalkboard and explaining how to find the derivative of a number.'],[0.458984375],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:15.915', '0:00:21.115']]"
-eA2D_rIcNA_tail,https://www.youtube.com/watch?v=-eA2D_rIcNA,"[['0:00:58.763', '0:01:03.963']]",['A man is standing in front of a chalkboard and explaining how to find the derivative of a number.'],[0.458984375],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:58.763', '0:01:03.963']]"
-g8UeFBYj7w_head,https://www.youtube.com/watch?v=-g8UeFBYj7w,"[['0:00:05.972', '0:00:11.172']]",['The user has provided a visual content of a wooden staircase with steps. the video also shows that the user has provided instructions on how to build a wooden staircase with steps.'],[0.43212890625],['desirable'],"[[['0:00:00.000', '0:00:06.906'], ['0:00:06.973', '0:00:48.048']]]","[['0:00:05.972', '0:00:11.172']]"
-g8UeFBYj7w_tail,https://www.youtube.com/watch?v=-g8UeFBYj7w,"[['0:00:48.820', '0:00:54.020']]",['The user has provided a visual content of a wooden staircase with steps. the video also shows that the user has provided instructions on how to build a wooden staircase with steps.'],[0.43212890625],['desirable'],"[[['0:00:00.000', '0:00:06.906'], ['0:00:06.973', '0:00:48.048']]]","[['0:00:48.820', '0:00:54.020']]"
-kdmXY4U8yI_head,https://www.youtube.com/watch?v=-kdmXY4U8yI,"[['0:00:06.000', '0:00:11.200']]",['A piano with the words how to improve using chords part 1.'],[0.457763671875],['desirable'],"[[['0:00:00.000', '0:00:47.960']]]","[['0:00:06.000', '0:00:11.200']]"
-kdmXY4U8yI_tail,https://www.youtube.com/watch?v=-kdmXY4U8yI,"[['0:00:48.800', '0:00:54.000']]",['A piano with the words how to improve using chords part 1.'],[0.457763671875],['desirable'],"[[['0:00:00.000', '0:00:47.960']]]","[['0:00:48.800', '0:00:54.000']]"
-rqY9aqrsVk_head,https://www.youtube.com/watch?v=-rqY9aqrsVk,"[['0:00:05.972', '0:00:11.172']]","['The person is using a windows phone 8 device, specifically the nokia lumia 920, and is demonstrating how to add a contact to the device.']",[0.44873046875],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:05.972', '0:00:11.172']]"
-rqY9aqrsVk_tail,https://www.youtube.com/watch?v=-rqY9aqrsVk,"[['0:00:48.820', '0:00:54.020']]","['The person is using a windows phone 8 device, specifically the nokia lumia 920, and is demonstrating how to add a contact to the device.']",[0.44873046875],['desirable'],"[[['0:00:00.000', '0:00:48.014']]]","[['0:00:48.820', '0:00:54.020']]"
