iteration,loss
20,-0.4004
30,-0.582
40,-1.4609
50,-1.1094
60,-1.2109
70,-0.9336
80,-1.4141
90,-0.334
100,0.1768
110,0.0693
120,-1.1016
130,-1.5
140,-1.25
150,0.5117
160,-0.8594
170,-1.4922
180,-0.5117
190,-1.5859
200,-0.5664
210,-0.2539
220,1.1094
230,-0.9023
240,-1.0312
250,-1.0938
260,-0.9492
270,-0.4609
280,-0.1904
290,-0.2373
300,0.1719
310,-0.1699
320,-0.6289
330,-1.1875
340,-1.7109
350,-0.4629
360,-0.5
370,-1.1016
380,-1.6797
390,-1.7891
400,-0.208
410,-0.5547
420,-1.1016
430,0.1064
440,-0.8203
450,-0.0151
460,-0.7461
470,-1.6797
480,-1.6797
490,-0.2734
500,-0.8281
510,-0.9648
520,-0.6328
530,-1.0469
540,-0.3984
550,-1.25
560,-0.5977
570,0.7188
580,-0.0068
590,0.543
600,1.4297
610,-1.1719
620,0.8164
630,-0.7812
640,-0.3398
650,-0.4473
660,-0.2793
670,-1.1094
680,-1.1797
690,-1.2344
700,-1.2266
710,-0.8555
720,-0.3203
730,-1.3672
740,-0.832
750,-1.0781
760,-1.2031
770,-0.1836
780,-0.377
790,-0.8945
800,-1.1641
810,-0.1865
820,-1.125
830,-0.9492
840,-0.6641
850,-1.2656
860,-1.1641
870,-1.2031
880,-1.0859
890,-0.6445
900,-1.8203
910,-0.7383
920,-0.9219
930,-0.918
940,-0.6719
950,-0.4102
960,-0.582
970,0.8359
980,-0.1455
990,-0.0354
1000,-1.1797
1010,0.5391
1020,0.2139
1030,-1.1484
1040,-0.5586
1050,0.1641
1060,-0.4141
1070,-0.8789
1080,-1.4531
1090,-1.3672
1100,-0.4141
1110,0.0033
1120,-0.6445
1130,-0.9883
1140,-0.6172
1150,-0.3184
1160,-0.9141
1170,-0.4961
1180,-0.4219
1190,0.2715
1200,-1.1641
1210,-0.582
1220,-1.2422
1230,-1.5781
1240,-0.9805
1250,-1.5938
1260,-0.957
1270,0.0664
1280,-1.1875
1290,-0.9219
1300,-1.2266
1310,-0.6289
1320,0.8242
1330,-0.5391
1340,-1.6797
1350,-0.7969
1360,-1.3359
1370,-0.6211
1380,-1.6406
1390,-1.8672
1400,0.4629
1410,-1.6016
1420,-0.9492
1430,0.7188
1440,-0.7383
1450,-0.6875
1460,-0.6719
1470,-1.0938
1480,-0.1914
1490,-1.2578
1500,-1.1797
1510,-1.4141
1520,-0.1152
1530,0.2793
1540,-1.1797
1550,-0.7891
1560,-0.0815
1570,-1.2422
1580,-0.1699
1590,-1.1094
1600,-1.4531
1610,-0.3672
1620,-1.3828
1630,0.125
1640,-0.543
1650,-0.0082
1660,-0.457
1670,-1.1797
1680,-1.1719
1690,-0.707
1700,0.0229
1710,0.4824
1720,0.0693
1730,-0.9609
1740,-0.8203
1750,-1.125
1760,-0.8164
1770,-1.6172
1780,-1.1172
1790,-1.4453
1800,-1.4688
1810,-1.0703
1820,-0.3398
1830,-0.0476
1840,-1.2266
1850,-1.2812
1860,0.0679
1870,-0.7305
1880,-1.0859
1890,-1.3203
1900,-1.2422
1910,-1.375
1920,-0.5664
1930,-0.8984
1940,-0.5859
1950,-0.2949
1960,-1.125
1970,-1.4297
1980,-1.1562
1990,-0.543
2000,0.3594
2010,-0.8555
2020,0.4766
2030,-0.4922
2040,-1.1484
2050,-1.2422
2060,-0.6953
2070,-0.418
2080,-0.1729
2090,-1.5781
2100,-0.4434
2110,-1.2109
2120,-1.4844
2130,-1.8672
2140,-1.4453
2150,-0.8125
2160,-1.4219
2170,-0.3887
2180,-0.2754
2190,-0.8789
2200,-0.6992
2210,-1.1328
2220,-0.2578
2230,-0.2559
2240,-0.8711
2250,-0.8672
2260,-1.0547
2270,-1.0234
2280,-0.2363
2290,0.2656
2300,-1.1406
2310,-1.3438
2320,-1.5859
2330,-1.8281
2340,0.5039
2350,0.5156
2360,-0.9375
2370,-1.2578
2380,-0.5781
2390,-0.9297
2400,-0.1592
2410,-0.3613
2420,-0.8438
2430,-0.8867
2440,-0.9297
2450,-0.4746
2460,-1.0703
2470,-0.2393
2480,-1.2266
2490,-0.3457
2500,-0.457
2510,-1.1484
2520,-1.4219
2530,-0.2891
2540,-0.2793
2550,-0.6289
2560,-0.1865
2570,-1.3281
2580,-0.2285
2590,-1.1484
2600,-1.1641
2610,-0.1729
2620,-0.8398
2630,-0.5859
2640,-1.0938
2650,-1.5078
2660,-1.4609
2670,-1.5625
2680,-1.3281
2690,-1.8203
2700,-0.0825
2710,-1.1328
2720,-0.8398
2730,-1.3672
2740,-0.9023
2750,0.8945
2760,-1.3828
2770,-1.6562
2780,-1.0938
2790,-1.4219
2800,-0.9297
2810,-1.6562
2820,-1.625
2830,0.4238
2840,-1.5625
2850,-1.3516
2860,0.6367
2870,-1.1016
2880,-1.3047
2890,-0.5977
2900,-1.8047
2910,-1.0391
2920,-0.8555
2930,-1.1328
2940,-1.5391
2950,-0.9844
2960,-0.8203
2970,-0.291
2980,-0.1079
2990,-1.3359
3000,-0.9531
