iteration,loss
20,-0.0449
30,-0.5195
40,-0.8359
50,-0.8281
60,-0.9492
70,-1.3984
80,-0.9609
90,-0.0588
100,0.4375
110,0.4688
120,-0.3105
130,-0.4082
140,-1.4375
150,0.4004
160,-1.0312
170,-1.2578
180,-0.3281
190,-0.6523
200,-0.8203
210,-0.0195
220,-0.8008
230,-0.8398
240,-1.6172
250,-0.9805
260,-1.1016
270,-1.4062
280,-0.3184
290,-1.0469
300,-0.1855
310,0.0305
320,-0.8828
330,-1.1953
340,-1.2891
350,-0.7539
360,-0.0101
370,-0.8008
380,-1.1328
390,-1.3828
400,-1.5547
410,-0.9961
420,-1.2031
430,-1.2969
440,-1.5
450,0.4863
460,-0.4629
470,-1.4141
480,-1.4062
490,-0.4648
500,-0.9414
510,-1.0469
520,-0.5508
530,-1.2188
540,0.1172
550,-1.4453
560,0.0022
570,0.25
580,-0.0082
590,0.1367
600,0.1807
610,-1.4609
620,0.6523
630,-0.9453
640,-0.8516
650,-0.8047
660,-0.377
670,-0.5273
680,-1.0625
690,-1.0703
700,-0.2539
710,0.7109
720,-0.7031
730,-0.8359
740,-0.8711
750,-1.7422
760,-1.1406
770,-0.7578
780,-0.0288
790,-0.582
800,-0.7109
810,0.0698
820,-1.3438
830,-1.3594
840,-1.1797
850,-1.0391
860,-1.0
870,-0.4824
880,-0.4473
890,-0.2148
900,-1.4141
910,-1.1406
920,-1.7578
930,-1.0859
940,-0.2832
950,-0.9102
960,-0.2461
970,-0.543
980,-1.0391
990,-0.4375
1000,-1.0234
1010,0.5156
1020,-0.6211
1030,-1.5391
1040,-1.1875
1050,-0.0598
1060,-1.2031
1070,-1.2969
1080,-1.4375
1090,-1.625
1100,-1.2891
1110,-1.2109
1120,-0.9219
1130,-0.4336
1140,-0.7148
1150,-0.9297
1160,-1.2031
1170,0.9648
1180,-1.0078
1190,-0.1436
1200,-1.1562
1210,-0.5742
1220,-1.3828
1230,-1.2422
1240,-0.5039
1250,-1.1953
1260,0.0383
1270,-0.4551
1280,-1.1719
1290,-1.4688
1300,-1.0
1310,-0.3145
1320,0.7305
1330,-0.053
1340,-1.8359
1350,-0.4062
1360,-0.7383
1370,-1.1484
1380,-1.0
1390,-0.6758
1400,-0.707
1410,-0.6211
1420,-0.6211
1430,-0.8164
1440,-0.7695
1450,-0.7266
1460,-0.5156
1470,-0.0479
1480,-0.0325
1490,-0.4062
1500,-1.4844
1510,-1.2969
1520,-0.2061
1530,-0.1045
1540,-1.0156
1550,0.4199
1560,0.2275
1570,-1.1562
1580,-0.9609
1590,-1.1875
1600,-1.5469
1610,-0.2402
1620,-0.8906
1630,-0.9883
1640,-0.5859
1650,-0.8164
1660,-0.4961
1670,-0.9297
1680,-1.4141
1690,-1.0703
1700,-0.6914
1710,-0.8477
1720,-0.6172
1730,-1.125
1740,-1.2969
1750,-1.4219
1760,-1.0078
1770,-1.6719
1780,-0.7812
1790,-1.1641
1800,-1.4922
1810,0.3301
1820,0.4902
1830,-1.3203
1840,-1.3516
1850,-0.5938
1860,-0.9883
1870,-0.9727
1880,-1.1016
1890,-0.9258
1900,-1.1016
1910,-0.9961
1920,-0.75
1930,-1.1641
1940,-0.5586
1950,0.2334
1960,-1.3203
1970,-1.4609
1980,-1.1328
1990,0.2061
2000,-1.2891
2010,-0.8594
2020,-1.0391
2030,-0.9375
2040,-1.0625
2050,-0.9766
2060,-0.8164
2070,0.0791
2080,-0.6055
2090,-0.8242
2100,-0.1992
2110,-1.8203
2120,-1.1484
2130,-1.3281
2140,-0.5234
2150,-0.5742
2160,-0.8555
2170,-0.1113
2180,-0.6211
2190,-1.2344
2200,-1.2344
2210,-0.9531
2220,-0.4258
2230,0.7305
2240,-0.8125
2250,-0.7617
2260,-1.4375
2270,-1.3516
2280,-0.8242
2290,0.1123
2300,-0.9023
2310,-1.3906
2320,-1.1719
2330,-1.3047
2340,-0.4492
2350,0.543
2360,-1.4688
2370,-1.2109
2380,-0.5586
2390,-1.7422
2400,-1.1719
2410,-0.8945
2420,-1.4766
2430,-0.7812
2440,-1.2344
2450,-1.3594
2460,-1.0078
2470,-0.8125
2480,-1.375
2490,-0.4141
2500,-0.9219
2510,-0.8203
2520,-1.4375
2530,-0.5469
2540,-0.9727
2550,-0.332
2560,-0.1396
2570,-1.2266
2580,-1.0703
2590,-1.4219
2600,-0.4473
2610,-1.1641
2620,-0.9844
2630,-0.2871
2640,-0.9648
2650,-1.4531
2660,-0.6523
2670,-0.9531
2680,-0.9805
2690,-0.9219
2700,-1.3906
2710,-0.6211
2720,-0.9766
2730,-1.3906
2740,-0.6797
2750,1.0156
2760,-1.1172
2770,-0.8867
2780,-0.8359
2790,-1.3984
2800,-1.0625
2810,-1.3281
2820,-0.3828
2830,-0.2598
2840,-0.7969
2850,-0.3906
2860,-0.3008
2870,-1.4141
2880,-1.5156
2890,-1.1875
2900,-1.0078
2910,-0.5352
2920,-0.3516
2930,-1.1406
2940,-1.3594
2950,-0.9883
2960,-1.4609
2970,-0.165
2980,0.8164
2990,-1.3203
3000,-0.8594
