iteration,loss
20,-0.4062
30,-0.5859
40,-1.4609
50,-1.1094
60,-1.2109
70,-0.9336
80,-1.4141
90,-0.3496
100,0.1758
110,0.0549
120,-1.1016
130,-1.5
140,-1.25
150,0.5039
160,-0.8594
170,-1.4922
180,-0.5117
190,-1.5859
200,-0.5703
210,-0.2451
220,1.0547
230,-0.9023
240,-1.0312
250,-1.1016
260,-0.9531
270,-0.4629
280,-0.2031
290,-0.2441
300,0.1895
310,-0.1709
320,-0.6289
330,-1.1875
340,-1.7109
350,-0.4688
360,-0.5039
370,-1.1094
380,-1.6797
390,-1.7891
400,-0.2139
410,-0.5586
420,-1.1016
430,0.1035
440,-0.8203
450,-0.0127
460,-0.7422
470,-1.6797
480,-1.6797
490,-0.2793
500,-0.832
510,-0.9688
520,-0.625
530,-1.0469
540,-0.3945
550,-1.25
560,-0.5977
570,0.7148
580,-0.0109
590,0.543
600,1.4297
610,-1.1719
620,0.8086
630,-0.7852
640,-0.3398
650,-0.4473
660,-0.2754
670,-1.1094
680,-1.1797
690,-1.2344
700,-1.2266
710,-0.8555
720,-0.3281
730,-1.3672
740,-0.8359
750,-1.0859
760,-1.2031
770,-0.1885
780,-0.3848
790,-0.8945
800,-1.1641
810,-0.1934
820,-1.125
830,-0.9492
840,-0.668
850,-1.2656
860,-1.1719
870,-1.2109
880,-1.0859
890,-0.6484
900,-1.8203
910,-0.7383
920,-0.9219
930,-0.918
940,-0.6758
950,-0.4141
960,-0.5859
970,0.832
980,-0.1475
990,-0.0405
1000,-1.1797
1010,0.5352
1020,0.209
1030,-1.1484
1040,-0.5703
1050,0.1631
1060,-0.4199
1070,-0.8789
1080,-1.4531
1090,-1.3672
1100,-0.4219
1110,-0.0002
1120,-0.6445
1130,-0.9922
1140,-0.6133
1150,-0.3242
1160,-0.9141
1170,-0.498
1180,-0.4238
1190,0.2676
1200,-1.1719
1210,-0.582
1220,-1.2422
1230,-1.5781
1240,-0.9805
1250,-1.5938
1260,-0.957
1270,0.0635
1280,-1.1875
1290,-0.9258
1300,-1.2266
1310,-0.6484
1320,0.7969
1330,-0.5391
1340,-1.6875
1350,-0.7969
1360,-1.3359
1370,-0.625
1380,-1.6406
1390,-1.8672
1400,0.4512
1410,-1.6016
1420,-0.9453
1430,0.6914
1440,-0.7422
1450,-0.6875
1460,-0.6758
1470,-1.0938
1480,-0.1953
1490,-1.2578
1500,-1.1797
1510,-1.4141
1520,-0.124
1530,0.25
1540,-1.1797
1550,-0.7852
1560,-0.0747
1570,-1.2422
1580,-0.1748
1590,-1.1094
1600,-1.4531
1610,-0.3672
1620,-1.3906
1630,0.1245
1640,-0.5469
1650,-0.009
1660,-0.457
1670,-1.1797
1680,-1.1719
1690,-0.7148
1700,0.0238
1710,0.4668
1720,0.0703
1730,-0.9609
1740,-0.8203
1750,-1.125
1760,-0.8203
1770,-1.625
1780,-1.125
1790,-1.4453
1800,-1.4688
1810,-1.0703
1820,-0.3262
1830,-0.0515
1840,-1.2266
1850,-1.2812
1860,0.0659
1870,-0.7305
1880,-1.0859
1890,-1.3281
1900,-1.25
1910,-1.375
1920,-0.5664
1930,-0.9023
1940,-0.5859
1950,-0.2949
1960,-1.125
1970,-1.4297
1980,-1.1641
1990,-0.5352
2000,0.3496
2010,-0.8555
2020,0.4746
2030,-0.4961
2040,-1.1484
2050,-1.2422
2060,-0.6953
2070,-0.4199
2080,-0.1807
2090,-1.5781
2100,-0.4512
2110,-1.2109
2120,-1.4844
2130,-1.8672
2140,-1.4453
2150,-0.8086
2160,-1.4219
2170,-0.3926
2180,-0.252
2190,-0.8789
2200,-0.7031
2210,-1.1406
2220,-0.2578
2230,-0.2559
2240,-0.875
2250,-0.8711
2260,-1.0547
2270,-1.0234
2280,-0.2246
2290,0.2754
2300,-1.1406
2310,-1.3438
2320,-1.5859
2330,-1.8281
2340,0.4902
2350,0.5156
2360,-0.9375
2370,-1.2578
2380,-0.582
2390,-0.9336
2400,-0.1592
2410,-0.3613
2420,-0.8438
2430,-0.8867
2440,-0.9297
2450,-0.4766
2460,-1.0781
2470,-0.2422
2480,-1.2266
2490,-0.3438
2500,-0.4609
2510,-1.1484
2520,-1.4219
2530,-0.291
2540,-0.2812
2550,-0.6289
2560,-0.1865
2570,-1.3281
2580,-0.2295
2590,-1.1484
2600,-1.1641
2610,-0.1816
2620,-0.8398
2630,-0.5859
2640,-1.0938
2650,-1.5078
2660,-1.4609
2670,-1.5625
2680,-1.3281
2690,-1.8203
2700,-0.083
2710,-1.1328
2720,-0.8398
2730,-1.3672
2740,-0.8984
2750,0.8945
2760,-1.3828
2770,-1.6562
2780,-1.0938
2790,-1.4219
2800,-0.9297
2810,-1.6562
2820,-1.625
2830,0.4316
2840,-1.5625
2850,-1.3516
2860,0.6211
2870,-1.1016
2880,-1.3047
2890,-0.6016
2900,-1.8047
2910,-1.0391
2920,-0.8633
2930,-1.1328
2940,-1.5391
2950,-0.9883
2960,-0.8203
2970,-0.291
2980,-0.1104
2990,-1.3359
3000,-0.9531
