iteration,loss
20,-0.019
30,-0.5078
40,-0.8242
50,-0.8203
60,-0.9414
70,-1.3984
80,-0.9609
90,-0.0579
100,0.4395
110,0.4824
120,-0.3008
130,-0.4004
140,-1.4375
150,0.3945
160,-1.0234
170,-1.2578
180,-0.3203
190,-0.6367
200,-0.8008
210,-0.0025
220,-0.793
230,-0.8359
240,-1.6094
250,-0.9648
260,-1.0859
270,-1.3984
280,-0.3066
290,-1.0391
300,-0.1904
310,0.0349
320,-0.8789
330,-1.1953
340,-1.2891
350,-0.7539
360,-0.0084
370,-0.8008
380,-1.1328
390,-1.3828
400,-1.5469
410,-0.9961
420,-1.2031
430,-1.2969
440,-1.4922
450,0.4863
460,-0.4648
470,-1.4141
480,-1.4062
490,-0.4629
500,-0.9414
510,-1.0469
520,-0.5547
530,-1.2188
540,0.124
550,-1.4453
560,0.0059
570,0.2656
580,-0.0071
590,0.1377
600,0.1709
610,-1.4609
620,0.6562
630,-0.9453
640,-0.8477
650,-0.8047
660,-0.3711
670,-0.5312
680,-1.0547
690,-1.0703
700,-0.2471
710,0.707
720,-0.6953
730,-0.8359
740,-0.8711
750,-1.7422
760,-1.1406
770,-0.7578
780,-0.032
790,-0.582
800,-0.707
810,0.0757
820,-1.3438
830,-1.3516
840,-1.1797
850,-1.0391
860,-1.0
870,-0.4805
880,-0.4492
890,-0.2168
900,-1.4141
910,-1.1406
920,-1.7578
930,-1.0859
940,-0.2871
950,-0.9141
960,-0.2441
970,-0.543
980,-1.0391
990,-0.4355
1000,-1.0234
1010,0.5469
1020,-0.6172
1030,-1.5391
1040,-1.1875
1050,-0.0688
1060,-1.2031
1070,-1.2969
1080,-1.4375
1090,-1.625
1100,-1.2969
1110,-1.2109
1120,-0.918
1130,-0.4355
1140,-0.7148
1150,-0.9336
1160,-1.2031
1170,0.9609
1180,-1.0078
1190,-0.1387
1200,-1.1562
1210,-0.5742
1220,-1.3828
1230,-1.2422
1240,-0.5039
1250,-1.1875
1260,0.033
1270,-0.457
1280,-1.1719
1290,-1.4688
1300,-1.0
1310,-0.3164
1320,0.7383
1330,-0.0569
1340,-1.8359
1350,-0.4082
1360,-0.7461
1370,-1.1484
1380,-1.0
1390,-0.6797
1400,-0.707
1410,-0.625
1420,-0.6211
1430,-0.8125
1440,-0.7695
1450,-0.7227
1460,-0.5156
1470,-0.0515
1480,-0.0391
1490,-0.4062
1500,-1.4844
1510,-1.2969
1520,-0.2051
1530,-0.1104
1540,-1.0156
1550,0.418
1560,0.2266
1570,-1.1562
1580,-0.9609
1590,-1.1875
1600,-1.5469
1610,-0.2461
1620,-0.8906
1630,-0.9922
1640,-0.5898
1650,-0.8164
1660,-0.5
1670,-0.9297
1680,-1.4062
1690,-1.0703
1700,-0.6875
1710,-0.8438
1720,-0.6172
1730,-1.125
1740,-1.2969
1750,-1.4219
1760,-1.0078
1770,-1.6719
1780,-0.7812
1790,-1.1641
1800,-1.4922
1810,0.3203
1820,0.4922
1830,-1.3203
1840,-1.3516
1850,-0.5938
1860,-0.9922
1870,-0.9727
1880,-1.1016
1890,-0.9297
1900,-1.1016
1910,-0.9961
1920,-0.75
1930,-1.1719
1940,-0.5625
1950,0.2275
1960,-1.3203
1970,-1.4609
1980,-1.1328
1990,0.208
2000,-1.2891
2010,-0.8594
2020,-1.0391
2030,-0.9375
2040,-1.0625
2050,-0.9766
2060,-0.8164
2070,0.0767
2080,-0.6094
2090,-0.8281
2100,-0.2061
2110,-1.8203
2120,-1.1484
2130,-1.3281
2140,-0.5273
2150,-0.5781
2160,-0.8555
2170,-0.1143
2180,-0.6211
2190,-1.2344
2200,-1.2344
2210,-0.957
2220,-0.4258
2230,0.7188
2240,-0.8164
2250,-0.7578
2260,-1.4375
2270,-1.3516
2280,-0.8242
2290,0.1045
2300,-0.9062
2310,-1.3984
2320,-1.1797
2330,-1.3047
2340,-0.4492
2350,0.543
2360,-1.4688
2370,-1.2109
2380,-0.5586
2390,-1.7422
2400,-1.1719
2410,-0.8945
2420,-1.4766
2430,-0.7852
2440,-1.2344
2450,-1.3594
2460,-1.0078
2470,-0.8164
2480,-1.375
2490,-0.416
2500,-0.918
2510,-0.8242
2520,-1.4375
2530,-0.5469
2540,-0.9727
2550,-0.3262
2560,-0.1416
2570,-1.2266
2580,-1.0703
2590,-1.4219
2600,-0.4492
2610,-1.1719
2620,-0.9883
2630,-0.2891
2640,-0.9648
2650,-1.4531
2660,-0.6523
2670,-0.9531
2680,-0.9766
2690,-0.9219
2700,-1.3906
2710,-0.6172
2720,-0.9766
2730,-1.3906
2740,-0.6758
2750,1.0156
2760,-1.1172
2770,-0.8867
2780,-0.832
2790,-1.3984
2800,-1.0703
2810,-1.3359
2820,-0.3828
2830,-0.2559
2840,-0.7969
2850,-0.3965
2860,-0.3184
2870,-1.4141
2880,-1.5156
2890,-1.1875
2900,-1.0078
2910,-0.5391
2920,-0.3555
2930,-1.1406
2940,-1.3594
2950,-0.9922
2960,-1.4609
2970,-0.166
2980,0.8125
2990,-1.3203
3000,-0.8633
