iteration,loss
20,-0.4004
30,-1.9453
40,-1.0469
50,-1.7188
60,-0.9375
70,-0.7734
80,-0.9141
90,-0.0601
100,-0.2988
110,0.1934
120,-0.9023
130,-1.4375
140,-1.3359
150,0.5312
160,-0.4473
170,-1.5156
180,-0.5586
190,-1.2578
200,-1.375
210,-0.1309
220,-0.1963
230,-0.9102
240,-1.1172
250,-1.1875
260,-1.5234
270,-0.6797
280,1.3594
290,-1.7578
300,0.3594
310,-0.1973
320,-0.7539
330,-1.2031
340,-1.5
350,-0.416
360,-0.2266
370,-0.377
380,-0.8828
390,-1.6094
400,-1.8438
410,-0.7891
420,-0.7656
430,-1.3672
440,-1.3516
450,-0.8711
460,-1.0625
470,-1.3438
480,-1.2812
490,-1.1719
500,-0.6719
510,-1.1719
520,-0.3984
530,-1.2734
540,-0.0967
550,-0.8906
560,-0.2295
570,-0.5586
580,-0.3906
590,0.3242
600,1.2891
610,-1.3828
620,0.6172
630,-1.4688
640,-0.8984
650,-1.1797
660,0.7266
670,-1.3359
680,-1.7031
690,-1.4219
700,-0.3613
710,-0.0066
720,-0.5586
730,-1.3828
740,-1.0781
750,-0.8711
760,-1.3203
770,-0.8438
780,-1.0
790,-1.0391
800,-1.0781
810,-0.291
820,-1.2031
830,-1.3438
840,-0.3906
850,-1.1406
860,-1.4219
870,-1.4219
880,-0.7188
890,-0.4434
900,-0.9062
910,-0.9727
920,-1.5625
930,-1.4922
940,-0.4941
950,-0.209
960,-0.3164
970,-0.1602
980,-1.1406
990,-0.6875
1000,-0.8281
1010,1.0391
1020,-0.7188
1030,-1.1406
1040,-1.3047
1050,0.2344
1060,-1.6719
1070,-1.1562
1080,-1.3672
1090,-1.0078
1100,-1.2734
1110,-1.4375
1120,-0.2305
1130,-0.4453
1140,-0.4414
1150,-0.459
1160,-1.0078
1170,-0.3887
1180,-1.3125
1190,-0.0311
1200,-1.0625
1210,-0.5156
1220,-1.1016
1230,-0.8086
1240,-0.5664
1250,-1.8984
1260,-0.793
1270,-1.3516
1280,-1.3203
1290,-1.2656
1300,-1.0859
1310,-0.9805
1320,0.8594
1330,-1.0156
1340,-1.1406
1350,-1.1094
1360,-0.875
1370,-1.2422
1380,-1.4453
1390,-1.9375
1400,-0.0222
1410,-1.1328
1420,-0.7148
1430,-0.4453
1440,-1.5625
1450,-0.0271
1460,-0.582
1470,-0.4668
1480,-0.6211
1490,-1.4297
1500,-0.8086
1510,-1.2656
1520,0.5
1530,-0.6641
1540,-1.9609
1550,-0.5664
1560,0.6406
1570,-1.1328
1580,-0.9336
1590,-1.3125
