iteration,loss
20,-0.3145
30,-0.4688
40,-1.4531
50,-1.0547
60,-1.2109
70,-0.9297
80,-1.4141
90,-0.3008
100,0.1865
110,0.2324
120,-1.0625
130,-1.4922
140,-1.2344
150,0.5156
160,-0.8477
170,-1.4609
180,-0.5195
190,-1.5625
200,-0.4316
210,-0.0859
220,1.2969
230,-0.7969
240,-0.9492
250,-1.0
260,-0.8711
270,-0.3555
280,0.1089
290,-0.1143
300,0.2471
310,-0.1924
320,-0.5195
330,-1.1797
340,-1.6797
350,-0.3828
360,-0.3438
370,-1.0547
380,-1.6172
390,-1.7656
400,-0.1992
410,-0.543
420,-1.0547
430,0.0933
440,-0.6875
450,0.1855
460,-0.6172
470,-1.6562
480,-1.6641
490,-0.1235
500,-0.7734
510,-0.8945
520,-0.5352
530,-0.9883
540,-0.3848
550,-1.1875
560,-0.498
570,0.6797
580,0.1094
590,0.543
600,1.5234
610,-1.1016
620,0.8086
630,-0.7383
640,-0.2324
650,-0.5
660,-0.1128
670,-1.0156
680,-1.1562
690,-1.2266
700,-1.1328
710,-0.832
720,-0.1719
730,-1.3438
740,-0.7969
750,-1.0
760,-1.1719
770,-0.0908
780,-0.1445
790,-0.8711
800,-1.1719
810,-0.0537
820,-1.0781
830,-0.9492
840,-0.6016
850,-1.2344
860,-1.1016
870,-1.1328
880,-1.0547
890,-0.5273
900,-1.7891
910,-0.6758
920,-0.9492
930,-0.8633
940,-0.6289
950,-0.3691
960,-0.5234
970,1.0859
980,0.0435
990,0.0693
1000,-1.1094
1010,0.668
1020,0.2412
1030,-1.1406
1040,-0.373
1050,0.3301
1060,-0.3105
1070,-0.8125
1080,-1.4219
1090,-1.375
1100,-0.3691
1110,0.2002
1120,-0.5938
1130,-0.9023
1140,-0.4199
1150,-0.1426
1160,-0.8711
1170,-0.4375
1180,-0.3242
1190,0.5625
1200,-1.1328
1210,-0.4766
1220,-1.2422
1230,-1.5625
1240,-1.0312
1250,-1.6094
1260,-0.9492
1270,-0.0215
1280,-1.1406
1290,-0.9219
1300,-1.2344
1310,-0.5664
1320,0.8633
1330,-0.4531
1340,-1.6719
1350,-0.6836
1360,-1.3203
1370,-0.5703
1380,-1.6406
