iteration,loss
20,1.1641
30,0.0173
40,0.0182
50,-0.4883
60,-0.6641
70,-1.3516
80,-0.8359
90,1.0
100,0.4785
110,1.9688
120,0.4512
130,-0.1963
140,-1.1172
150,1.2812
160,-1.0078
170,-1.1719
180,-0.2383
190,-0.3555
200,-0.6406
210,0.7109
220,-0.2988
230,-0.5156
240,-1.4219
250,-0.75
260,-0.8438
270,-1.2969
280,0.021
290,-0.9531
300,0.0767
310,0.0408
320,-0.7539
330,-1.0078
340,-1.1797
350,-0.6914
360,0.0576
370,-0.8008
380,-1.0781
390,-1.3203
400,-1.5078
410,-0.9961
420,-1.0781
430,-1.2422
440,-1.4062
450,0.918
460,-0.2324
470,-1.3594
480,-1.3281
490,-0.3164
500,-0.8125
510,-0.875
520,-0.4219
530,-1.1094
540,0.5156
550,-1.375
560,0.1367
570,0.6797
580,0.2031
590,0.2266
600,0.3262
610,-1.4297
620,0.7617
630,-0.9062
640,-0.7109
650,-0.7656
660,-0.332
670,-0.3789
680,-1.0078
690,-1.0781
700,-0.0344
710,0.8633
720,-0.5781
730,-0.7695
740,-0.832
750,-1.7344
760,-1.1016
770,-0.6133
780,0.0168
790,-0.5273
800,-0.5664
810,0.207
820,-1.2578
830,-1.3438
840,-1.125
850,-1.0547
860,-0.957
870,-0.3457
880,-0.3711
890,0.0444
900,-1.3359
910,-1.1484
920,-1.7266
930,-1.0078
940,0.0112
950,-0.793
960,-0.1201
970,-0.4941
980,-1.0
990,-0.3848
1000,-0.9219
1010,0.8828
1020,-0.5078
1030,-1.5312
1040,-1.1875
1050,-0.0845
1060,-1.1641
1070,-1.2734
1080,-1.4219
1090,-1.6094
1100,-1.2266
1110,-1.1641
1120,-0.8086
1130,-0.2578
1140,-0.582
1150,-0.8125
1160,-1.125
1170,1.0859
1180,-0.9648
1190,-0.0096
1200,-1.0938
1210,-0.4199
1220,-1.3359
1230,-1.1875
1240,-0.4922
1250,-1.125
1260,0.2578
1270,-0.459
1280,-1.1406
1290,-1.4688
1300,-0.9922
1310,-0.2559
1320,0.8555
1330,0.0033
1340,-1.8125
1350,-0.2695
1360,-0.6719
1370,-1.0469
1380,-0.9336
1390,-0.5508
1400,-0.6758
1410,-0.5312
1420,-0.4941
1430,-0.6172
1440,-0.7227
1450,-0.6172
1460,-0.5195
1470,0.0688
1480,0.1182
1490,-0.3809
1500,-1.4453
1510,-1.2422
1520,-0.0625
1530,-0.0496
1540,-0.9922
1550,0.6133
1560,0.2773
1570,-1.1016
1580,-0.8789
1590,-1.1953
1600,-1.5469
1610,-0.0618
1620,-0.7969
1630,-0.918
1640,-0.4902
1650,-0.8867
1660,-0.4707
1670,-0.9492
1680,-1.375
1690,-0.9492
1700,-0.5898
1710,-0.8438
1720,-0.6328
1730,-1.1719
1740,-1.2969
1750,-1.4062
1760,-0.9766
1770,-1.6484
1780,-0.6602
1790,-1.1641
1800,-1.4766
1810,0.5898
1820,0.6367
1830,-1.25
1840,-1.3438
1850,-0.5039
1860,-0.9648
1870,-0.8633
1880,-1.0703
1890,-0.8164
1900,-1.0234
1910,-0.9336
1920,-0.7383
1930,-1.1016
1940,-0.5664
1950,0.1904
1960,-1.3359
1970,-1.4688
1980,-1.1094
1990,0.2949
2000,-1.2109
2010,-0.8594
2020,-0.9883
2030,-0.8398
2040,-1.0312
2050,-1.0078
2060,-0.7852
2070,0.2559
2080,-0.5039
2090,-0.7539
2100,-0.05
2110,-1.8125
2120,-1.125
2130,-1.2891
2140,-0.5195
2150,-0.5156
2160,-0.7695
2170,-0.0332
2180,-0.5117
2190,-1.1797
2200,-1.2578
2210,-0.9648
2220,-0.375
2230,0.9453
2240,-0.7852
2250,-0.668
2260,-1.375
2270,-1.3438
2280,-0.7734
2290,0.1973
2300,-0.7461
2310,-1.3516
2320,-1.1797
2330,-1.3359
2340,-0.4102
2350,0.5234
2360,-1.4531
2370,-1.1562
2380,-0.4746
2390,-1.7188
2400,-1.1875
2410,-0.9375
2420,-1.4688
2430,-0.7344
2440,-1.2266
2450,-1.3672
2460,-0.9219
2470,-0.7344
2480,-1.3359
2490,-0.2578
2500,-0.8242
2510,-0.6758
2520,-1.4141
2530,-0.543
2540,-0.9492
2550,-0.2051
2560,-0.1406
2570,-1.1719
2580,-0.957
2590,-1.3906
2600,-0.4102
2610,-1.0859
2620,-0.9492
2630,-0.2773
2640,-0.9961
2650,-1.4531
2660,-0.6406
2670,-0.918
2680,-0.8672
2690,-0.9102
2700,-1.3828
2710,-0.5352
2720,-0.9453
2730,-1.3594
2740,-0.6016
2750,1.0625
2760,-1.125
2770,-0.8516
2780,-0.7773
2790,-1.4219
2800,-1.0312
2810,-1.2969
2820,-0.3945
2830,-0.124
2840,-0.7461
2850,-0.3828
2860,-0.2217
2870,-1.4062
2880,-1.5078
2890,-1.1953
2900,-0.9844
2910,-0.4629
2920,-0.3301
2930,-1.0938
2940,-1.2969
2950,-0.9102
2960,-1.4609
2970,-0.0471
2980,0.9609
2990,-1.2969
3000,-0.7656
3010,-1.0625
3020,-1.2656
3030,-0.052
3040,-0.9453
3050,-0.9766
3060,-1.2266
3070,-1.7656
3080,-0.4121
3090,-1.1484
3100,-1.2812
3110,-1.3047
3120,-1.6016
3130,-1.5469
3140,-1.1641
3150,-0.8945
3160,0.2598
3170,-0.3301
3180,-0.9922
3190,-0.5898
3200,-1.2031
3210,-0.7812
3220,-0.7617
3230,-1.0625
3240,-0.6484
3250,-0.0498
3260,-1.4844
3270,0.3926
3280,-0.3574
3290,-0.2285
3300,-0.6797
3310,-0.6016
3320,-1.3438
3330,-1.3438
3340,-0.9844
3350,-0.8008
3360,-1.3828
3370,-0.4336
3380,-1.8516
3390,-0.4785
3400,-0.457
3410,-1.4297
3420,-0.9531
3430,-0.4824
3440,-0.6523
3450,0.2002
3460,-0.9609
3470,-1.7656
3480,-0.2617
3490,-1.25
3500,-0.4004
3510,-0.5898
3520,-0.1904
3530,-0.2715
3540,-0.9102
3550,-1.4844
3560,-1.3984
3570,0.1348
3580,-0.9805
3590,-0.2695
3600,-0.8086
3610,-0.918
3620,-1.2734
3630,-0.9414
3640,-1.4531
3650,-0.7812
3660,-0.9297
3670,-0.9062
3680,0.0094
3690,-0.6445
3700,-0.6211
3710,-0.6875
3720,-1.3984
3730,-0.8594
3740,-0.7383
3750,-1.6016
3760,0.0183
3770,-1.1016
3780,-1.5
3790,-1.375
3800,-1.25
3810,0.4766
3820,-1.375
3830,0.5703
3840,-1.4922
3850,0.2051
3860,-0.2207
3870,-1.3047
3880,-1.4141
3890,-0.7656
3900,-1.0859
3910,-0.7773
3920,-1.0938
3930,-0.9492
3940,-1.5547
3950,-1.0859
3960,-0.7734
3970,0.7656
3980,-0.9375
3990,-0.6484
4000,-1.3594
